0,088458	0,088458	-0,992144
0,069029	0,088752	-0,993659
0,049402	0,088923	-0,994813
0,029715	0,089145	-0,995575
0,009915	0,089239	-0,995961
-0,009915	0,089239	-0,995961
-0,029715	0,089145	-0,995575
-0,049402	0,088923	-0,994813
-0,069029	0,088752	-0,993659
-0,088458	0,088458	-0,992144
0,088752	0,069029	-0,993659
0,069258	0,069258	-0,995192
0,049643	0,069500	-0,996346
0,029802	0,069539	-0,997134
0,009939	0,069574	-0,997527
-0,009939	0,069574	-0,997527
-0,029802	0,069539	-0,997134
-0,049643	0,069500	-0,996346
-0,069258	0,069258	-0,995192
-0,088752	0,069029	-0,993659
0,088923	0,049402	-0,994813
0,069500	0,049643	-0,996346
0,049696	0,049696	-0,997527
0,029910	0,049851	-0,998309
0,009959	0,049794	-0,998710
-0,009959	0,049794	-0,998710
-0,029910	0,049851	-0,998309
-0,049696	0,049696	-0,997527
-0,069500	0,049643	-0,996346
-0,088923	0,049402	-0,994813
0,089145	0,029715	-0,995575
0,069539	0,029802	-0,997134
0,049851	0,029910	-0,998309
0,030007	0,030007	-0,999099
0,009973	0,029920	-0,999503
-0,009973	0,029920	-0,999503
-0,030007	0,030007	-0,999099
-0,049851	0,029910	-0,998309
-0,069539	0,029802	-0,997134
-0,089145	0,029715	-0,995575
0,089239	0,009915	-0,995961
0,069574	0,009939	-0,997527
0,049794	0,009959	-0,998710
0,029920	0,009973	-0,999503
0,010020	0,010020	-0,999900
-0,010020	0,010020	-0,999900
-0,029920	0,009973	-0,999503
-0,049794	0,009959	-0,998710
-0,069574	0,009939	-0,997527
-0,089239	0,009915	-0,995961
0,089239	-0,009915	-0,995961
0,069574	-0,009939	-0,997527
0,049794	-0,009959	-0,998710
0,029920	-0,009973	-0,999503
0,010020	-0,010020	-0,999900
-0,010020	-0,010020	-0,999900
-0,029920	-0,009973	-0,999503
-0,049794	-0,009959	-0,998710
-0,069574	-0,009939	-0,997527
-0,089239	-0,009915	-0,995961
0,089145	-0,029715	-0,995575
0,069539	-0,029802	-0,997134
0,049851	-0,029910	-0,998309
0,030007	-0,030007	-0,999099
0,009973	-0,029920	-0,999503
-0,009973	-0,029920	-0,999503
-0,030007	-0,030007	-0,999099
-0,049851	-0,029910	-0,998309
-0,069539	-0,029802	-0,997134
-0,089145	-0,029715	-0,995575
0,088923	-0,049402	-0,994813
0,069500	-0,049643	-0,996346
0,049696	-0,049696	-0,997527
0,029910	-0,049851	-0,998309
0,009959	-0,049794	-0,998710
-0,009959	-0,049794	-0,998710
-0,029910	-0,049851	-0,998309
-0,049696	-0,049696	-0,997527
-0,069500	-0,049643	-0,996346
-0,088923	-0,049402	-0,994813
0,088752	-0,069029	-0,993659
0,069258	-0,069258	-0,995192
0,049643	-0,069500	-0,996346
0,029802	-0,069539	-0,997134
0,009939	-0,069574	-0,997527
-0,009939	-0,069574	-0,997527
-0,029802	-0,069539	-0,997134
-0,049643	-0,069500	-0,996346
-0,069258	-0,069258	-0,995192
-0,088752	-0,069029	-0,993659
0,088458	-0,088458	-0,992144
0,069029	-0,088752	-0,993659
0,049402	-0,088923	-0,994813
0,029715	-0,089145	-0,995575
0,009915	-0,089239	-0,995961
-0,009915	-0,089239	-0,995961
-0,029715	-0,089145	-0,995575
-0,049402	-0,088923	-0,994813
-0,069029	-0,088752	-0,993659
-0,088458	-0,088458	-0,992144
